CITY,STATE,LATITUDE,LONGITUDE,OVERALL RANK,RESTAURANT DENSITY RANK,HUMIDITY RANK,TRIPADVISOR REVIEWS RANK
Sioux Falls,South Dakota,43.5476008,96.7293629,33,66,14,46
St. Louis,Missouri,38.6254063,90.190009,34,4,34,88
Bridgeport,Connecticut,41.1792695,73.1887863,35,21,65,42
Memphis,Tennessee,35.1460249,90.0517638,36,75,53,1
Richmond,Virginia,37.5385087,77.43428,37,19,64,48
Meridian,Idaho,43.6086295,116.392326,38,36,25,70
Fort Smith,Arkansas,35.3880338,94.4265011,39,78,40,15
Raleigh,North Carolina,35.7803977,78.6390989,40,46,63,24
Houston,Texas,29.7589382,95.3676974,41,33,17,84
Lincoln,Nebraska,40.8088861,96.7077751,42,61,39,35
Missoula,Montana,46.8701049,113.995267,43,54,6,75
Hartford,Connecticut,41.764582,72.6908547,44,47,66,25
Jackson,Mississippi,32.2998686,90.1830408,45,82,16,40
Topeka,Kansas,39.049011,95.677556,46,34,44,60
Montgomery,Alabama,32.3777111,86.3090775,47,81,42,16
Norfolk,Virginia,36.8493695,76.2899539,48,31,62,47
Charlotte,North Carolina,35.2272086,80.8430827,49,50,70,21
Philadelphia,Pennsylvania,39.9527237,75.1635262,50,9,71,63
Los Angeles,California,34.0536909,118.242766,51,20,85,39
New York City,New York,40.7127281,74.0060152,52,11,80,53
Atlantic City,New Jersey,39.3642852,74.4229351,53,27,57,62
Reno,Nevada,39.5261788,119.812658,54,53,83,11
Boise,Idaho,43.6166163,116.200886,55,49,73,26
Lexington,Kentucky,38.0464066,84.4970393,56,83,33,32
Huntington,West Virginia,38.4192496,82.445154,57,37,35,76
Providence,Rhode Island,41.8239891,71.4128343,58,8,74,69
Billings,Montana,45.7874957,108.49607,59,48,82,22
Detroit,Michigan,42.3315509,83.0466403,60,41,26,85
Columbia,South Carolina,34.000754,81.0352313,61,60,67,27
Burlington,Vermont,44.4761601,73.212906,62,30,47,77
Jacksonville,Florida,30.3262247,81.6579179,63,86,38,33
Salt Lake City,Utah,40.7596198,111.886797,64,39,69,49
Dubuque,Iowa,42.5006243,90.6647985,65,73,20,66
Cheyenne,Wyoming,41.139981,104.820246,66,59,84,17
Meridian,Mississippi,32.3643098,88.703656,67,80,27,58
Nashville,Tennessee,36.1622767,86.7742984,68,76,37,54
Honolulu,Hawaii,21.304547,157.855676,69,13,68,90
Hilo,Hawaii,19.7073734,155.08158,70,85,28,59
Worcester,Massachusetts,42.2625621,71.8018877,71,32,59,81
Albuquerque,New Mexico,35.0841034,106.650985,72,51,88,34
Wichita,Kansas,37.6922361,97.3375448,73,68,50,55
Fairbanks,Alaska,64.837845,147.716675,74,69,36,71
Bismarck,North Dakota,46.808327,100.783739,75,70,15,92
Phoenix,Arizona,33.4484367,112.074141,76,62,90,29
Anchorage,Alaska,61.2163129,149.894852,77,92,21,68
Concord,New Hampshire,43.207178,71.537476,78,91,54,37
Denver,Colorado,39.7392364,104.984862,79,26,87,73
San Diego,California,32.7174202,117.162772,80,29,76,82
Las Vegas,Nevada,36.1674263,115.1484131,81,6,92,91
Louisville,Kentucky,38.2542376,85.759407,82,57,48,86
Casper,Wyoming,42.8501191,106.325138,83,72,81,43
Oklahoma City,Oklahoma,35.4729886,97.5170536,84,84,60,52
Kansas City,Missouri,39.100105,94.5781416,85,79,41,78
Colorado Springs,Colorado,38.8339578,104.825348,86,56,86,57
Columbus,Georgia,32.4610708,84.9880449,87,89,51,72
Tulsa,Oklahoma,36.1563122,95.9927516,88,67,56,89
Birmingham,Alabama,33.52066,86.80249,89,71,91,56
Rapid City,South Dakota,44.0806041,103.228023,90,77,77,64
Tucson,Arizona,32.2228765,110.974847,91,55,89,74
Lewiston,Maine,44.0990717,70.2177099,92,90,52,80
